         52294458 function calls (37544902 primitive calls) in 47.447 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      119    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\opcode.py:39(def_op)
       42    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1368(getinfo)
       64    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:316(collision_enter)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\inspect.py:2388(_ParameterKind)
       16    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:23(__init__)
      106    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\vector2d.py:83(nullify)
       13    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:675(__str__)
        1    0.000    0.000    0.000    0.000 <string>:3(<module>)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:880(__truediv__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\__init__.py:303(loads)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1242(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\pathlib.py:669(_make_child)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\encoder.py:204(iterencode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:572(spec_from_file_location)
       42    0.000    0.000    0.000    0.000 {function ZipExtFile.close at 0x0000023A68D1D2F0}
      126    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1458(<lambda>)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       88    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\zipfile.py:1769(close)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\decoder.py:335(decode)
       10    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\game_object.py:195(is_walkable)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:124(__prepare__)
       33    0.000    0.000    0.000    0.000 main.py:93(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\threading.py:499(__init__)
       61    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\abc.py:137(__instancecheck__)
       52    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:436(_classify_pyc)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:367(__setattr__)
       42    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <string>:57(collision_enter)
        4    0.000    0.000    0.000    0.000 <string>:12(__init__)
       19    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\json\encoder.py:277(_iterencode_list)
        1    0.000    0.000    0.000    0.000 <string>:7(<module>)
       97    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\space.py:142(<listcomp>)
       62    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
      120    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       88    0.000    0.000    0.000    0.000 <string>:76(endframe)
       42    0.000    0.000    0.000    0.000 {method 'seekable' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 main.py:45(<listcomp>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        8    0.000    0.000    0.000    0.000 C:\Users\maxim\Desktop\empty\kernel\color_sys.py:23(get_color)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\codecs.py:319(decode)
       13    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        4    0.000    0.000    0.000    0.000 <string>:61(defer_vanish)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python37\lib\enum.py:433(_get_mixins_)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
       89    0.000    0.000    0.000    0.000 <string>:35(update)
